"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
1.00000e+2	4.86264e+13
1.19900e+3	2.54239e+14
2.29800e+3	3.86188e+14
3.39700e+3	4.90603e+14
4.49600e+3	5.76919e+14
5.59500e+3	6.49472e+14
6.69400e+3	7.10838e+14
7.79300e+3	7.62774e+14
8.89200e+3	8.06587e+14
9.99100e+3	8.43304e+14
1.10900e+4	8.73764e+14
1.21890e+4	8.98673e+14
1.32880e+4	9.18637e+14
1.43870e+4	9.34183e+14
1.54860e+4	9.45774e+14
1.65850e+4	9.53824e+14
1.76840e+4	9.58700e+14
1.87830e+4	9.60734e+14
1.98820e+4	9.60223e+14
2.09810e+4	9.57439e+14
2.20800e+4	9.52627e+14
2.31790e+4	9.46008e+14
2.42780e+4	9.37785e+14
2.53770e+4	9.28144e+14
2.64760e+4	9.17251e+14
2.75750e+4	9.05261e+14
2.86740e+4	8.92314e+14
2.97730e+4	8.78536e+14
3.08720e+4	8.64045e+14
3.19710e+4	8.48946e+14
3.30700e+4	8.33336e+14
3.41690e+4	8.17303e+14
3.52680e+4	8.00925e+14
3.63670e+4	7.84272e+14
3.74660e+4	7.67419e+14
3.85650e+4	7.50421e+14
3.96640e+4	7.33331e+14
4.07630e+4	7.16201e+14
4.18620e+4	6.99074e+14
4.29610e+4	6.81986e+14
4.40600e+4	6.64974e+14
4.51590e+4	6.48077e+14
4.62580e+4	6.31316e+14
4.73570e+4	6.14720e+14
4.84560e+4	5.98310e+14
4.95550e+4	5.82104e+14
5.06540e+4	5.66123e+14
5.17530e+4	5.50381e+14
5.28520e+4	5.34890e+14
5.39510e+4	5.19660e+14
5.50500e+4	5.04707e+14
5.61490e+4	4.90036e+14
5.72480e+4	4.75653e+14
5.83470e+4	4.61563e+14
5.94460e+4	4.47770e+14
6.05450e+4	4.34278e+14
6.16440e+4	4.21087e+14
6.27430e+4	4.08201e+14
6.38420e+4	3.95618e+14
6.49410e+4	3.83339e+14
6.60400e+4	3.71362e+14
6.71390e+4	3.59685e+14
6.82380e+4	3.48307e+14
6.93370e+4	3.37225e+14
7.04360e+4	3.26435e+14
7.15350e+4	3.15935e+14
7.26340e+4	3.05720e+14
7.37330e+4	2.95786e+14
7.48320e+4	2.86130e+14
7.59310e+4	2.76746e+14
7.70300e+4	2.67629e+14
7.81290e+4	2.58776e+14
7.92280e+4	2.50180e+14
8.03270e+4	2.41837e+14
8.14260e+4	2.33742e+14
8.25250e+4	2.25888e+14
8.36240e+4	2.18272e+14
8.47230e+4	2.10887e+14
8.58220e+4	2.03729e+14
8.69210e+4	1.96791e+14
8.80200e+4	1.90069e+14
8.91190e+4	1.83557e+14
9.02180e+4	1.77249e+14
9.13170e+4	1.71141e+14
9.24160e+4	1.65228e+14
9.35150e+4	1.59504e+14
9.46140e+4	1.53964e+14
9.57130e+4	1.48603e+14
9.68120e+4	1.43416e+14
9.79110e+4	1.38399e+14
9.90100e+4	1.33546e+14
1.00109e+5	1.28853e+14
1.01208e+5	1.24315e+14
1.02307e+5	1.19928e+14
1.03406e+5	1.15687e+14
1.04505e+5	1.11588e+14
1.05604e+5	1.07627e+14
1.06703e+5	1.03799e+14
1.07802e+5	1.00101e+14
1.08901e+5	9.65279e+13
1.10000e+5	9.30766e+13
