,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_skew
0,30000,200,1000,-40,0.4488743497165358,0.0002525068878832,0.0004887730785447,1.0981847563997976e-05,-154.7496580652328
1,30000,200,1000,-30,0.4944566691549248,0.0002000007977881,0.0003840471063517,1.097236925459634e-05,-118.7060410612367
2,30000,200,2000,-30,0.4943589804692486,0.0001001627680742,0.0001847554132653,1.0822750181174404e-05,-236.8488364924856
3,30000,200,3000,-30,0.4812014324577773,6.687917717278809e-05,0.0001184852063978,1.0715072272068733e-05,-354.0953129378686
4,30000,200,4000,-30,0.4692336034983096,5.023697315681696e-05,8.544763760177499e-05,1.0631555725421164e-05,-470.4965821575623
5,30000,200,5000,-30,0.4584703699151221,4.0251791084548594e-05,6.5690818115155e-05,1.0564118227877194e-05,-586.1202070988479
6,30000,200,6000,-30,0.4486519039509297,3.359526648749122e-05,5.256722092422599e-05,1.0508381219342108e-05,-701.0540235343649
7,30000,200,7000,-30,0.4395977328205324,2.8840897414757264e-05,4.322967440692271e-05,1.046156065233533e-05,-815.401239851538
8,30000,200,8000,-30,0.4311801927429268,2.5275418814220708e-05,3.62555218918498e-05,1.042181113177734e-05,-929.2925521016764
9,30000,200,9000,-30,0.4233047059337483,2.2502566020339982e-05,3.0854934836800763e-05,1.038785439462046e-05,-1042.8776961148965
10,30000,200,10000,-30,0.4158984577523326,2.0284580104434613e-05,2.655447896351922e-05,1.03586780798094e-05,-1156.3345839695503
11,30000,200,15000,-30,0.3842390656069174,1.3634386187247146e-05,1.3827332532520655e-05,1.026562364612248e-05,-1730.406454755543
12,30000,200,20000,-30,0.3589708505419641,1.031651947119836e-05,7.637557276414766e-06,1.0237264507294664e-05,-2354.740551121452
13,30000,200,25000,-30,0.3382771958117574,8.337666012385905e-06,4.002642588672778e-06,1.0267047139660658e-05,-3146.343532926612
14,30000,200,30000,-30,0.3215394004102773,7.045136156356348e-06,1.5480191572709855e-06,1.0373446170156548e-05,-4484.063334252162
15,30000,200,35000,-30,0.3040714218982702,6.6335034789189615e-06,1.661169677423303e-13,1.0480017041786793e-05,-19172.52470156268
16,30000,200,40000,-30,0.2808757788201382,6.069528176935885e-06,1.2629437817861812e-13,1.0066778742516942e-05,-24985.432815598982
17,30000,200,50000,-30,0.246056751877072,5.312443858435532e-06,1.6333942211229661e-13,9.661716205725553e-06,-34831.29392075216
18,30000,200,60000,-30,0.2245138058886466,3.0515306146837845e-06,1.092556699803209e-13,9.4554996797762e-06,15819.114529791645
19,30000,200,70000,-30,0.2078877974401545,2.572601601019405e-06,2.0836286650336625e-13,9.368966210086366e-06,16183.791636760514
20,30000,200,500000,-30,0.1576805395132473,5.327295285987554e-07,5.91765031582087e-14,9.130325690378776e-06,2401.234541500602
21,30000,200,-1000,-30,0.4944566691549248,0.0002000007977881,0.0003840471063517,1.097236925459634e-05,-118.7060410612367
22,30000,200,-2000,-30,0.4943589804692486,0.0001001627680742,0.0001847554132653,1.0822750181174404e-05,-236.8488364924856
23,30000,200,-3000,-30,0.4812014324577773,6.687917717278809e-05,0.0001184852063978,1.0715072272068733e-05,-354.0953129378686
24,30000,200,-4000,-30,0.4692336034983096,5.023697315681696e-05,8.544763760177499e-05,1.0631555725421164e-05,-470.4965821575623
25,30000,200,-5000,-30,0.4584703699151221,4.0251791084548594e-05,6.5690818115155e-05,1.0564118227877194e-05,-586.1202070988479
26,30000,200,-6000,-30,0.4486519039509297,3.359526648749122e-05,5.256722092422599e-05,1.0508381219342108e-05,-701.0540235343649
27,30000,200,-7000,-30,0.4395977328205324,2.8840897414757264e-05,4.322967440692271e-05,1.046156065233533e-05,-815.401239851538
28,30000,200,-8000,-30,0.4311801927429268,2.5275418814220708e-05,3.62555218918498e-05,1.042181113177734e-05,-929.2925521016764
