"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
1.00000e+1	2.78223e+13
1.43327e+2	1.64108e+14
2.76653e+2	2.53910e+14
4.09980e+2	3.29159e+14
5.43307e+2	3.95882e+14
6.76633e+2	4.56653e+14
8.09960e+2	5.12878e+14
9.43287e+2	5.65433e+14
1.07661e+3	6.14911e+14
1.20994e+3	6.61739e+14
1.34327e+3	7.06236e+14
1.47659e+3	7.48652e+14
1.60992e+3	7.89185e+14
1.74325e+3	8.27997e+14
1.87657e+3	8.65224e+14
2.00990e+3	9.00979e+14
2.14323e+3	9.35362e+14
2.27655e+3	9.68455e+14
2.40988e+3	1.00033e+15
2.54321e+3	1.03106e+15
2.67653e+3	1.06071e+15
2.80986e+3	1.08931e+15
2.94319e+3	1.11692e+15
3.07651e+3	1.14359e+15
3.20984e+3	1.16935e+15
3.34317e+3	1.19424e+15
3.47649e+3	1.21829e+15
3.60982e+3	1.24154e+15
3.74315e+3	1.26401e+15
3.87647e+3	1.28573e+15
4.00980e+3	1.30672e+15
4.14313e+3	1.32701e+15
4.27645e+3	1.34663e+15
4.40978e+3	1.36558e+15
4.54311e+3	1.38390e+15
4.67643e+3	1.40160e+15
4.80976e+3	1.41870e+15
4.94309e+3	1.43521e+15
5.07641e+3	1.45116e+15
5.20974e+3	1.46655e+15
5.34307e+3	1.48141e+15
5.47639e+3	1.49574e+15
5.60972e+3	1.50957e+15
5.74305e+3	1.52290e+15
5.87637e+3	1.53574e+15
6.00970e+3	1.54812e+15
6.14303e+3	1.56003e+15
6.27635e+3	1.57150e+15
6.40968e+3	1.58253e+15
6.54301e+3	1.59313e+15
6.67633e+3	1.60331e+15
6.80966e+3	1.61309e+15
6.94299e+3	1.62248e+15
7.07631e+3	1.63147e+15
7.20964e+3	1.64009e+15
7.34297e+3	1.64833e+15
7.47629e+3	1.65622e+15
7.60962e+3	1.66375e+15
7.74295e+3	1.67094e+15
7.87627e+3	1.67779e+15
8.00960e+3	1.68431e+15
8.14293e+3	1.69051e+15
8.27625e+3	1.69639e+15
8.40958e+3	1.70196e+15
8.54291e+3	1.70724e+15
8.67623e+3	1.71222e+15
8.80956e+3	1.71691e+15
8.94289e+3	1.72132e+15
9.07621e+3	1.72545e+15
9.20954e+3	1.72931e+15
9.34287e+3	1.73292e+15
9.47619e+3	1.73626e+15
9.60952e+3	1.73935e+15
9.74285e+3	1.74220e+15
9.87617e+3	1.74480e+15
1.00095e+4	1.74717e+15
1.01428e+4	1.74931e+15
1.02762e+4	1.75122e+15
1.04095e+4	1.75291e+15
1.05428e+4	1.75439e+15
1.06761e+4	1.75565e+15
1.08095e+4	1.75671e+15
1.09428e+4	1.75757e+15
1.10761e+4	1.75823e+15
1.12094e+4	1.75869e+15
1.13428e+4	1.75897e+15
1.14761e+4	1.75906e+15
1.16094e+4	1.75897e+15
1.17427e+4	1.75871e+15
1.18761e+4	1.75827e+15
1.20094e+4	1.75767e+15
1.21427e+4	1.75690e+15
1.22761e+4	1.75597e+15
1.24094e+4	1.75488e+15
1.25427e+4	1.75364e+15
1.26760e+4	1.75224e+15
1.28094e+4	1.75070e+15
1.29427e+4	1.74902e+15
1.30760e+4	1.74720e+15
1.32093e+4	1.74523e+15
1.33427e+4	1.74314e+15
1.34760e+4	1.74091e+15
1.36093e+4	1.73856e+15
1.37426e+4	1.73608e+15
1.38760e+4	1.73348e+15
1.40093e+4	1.73076e+15
1.41426e+4	1.72793e+15
1.42760e+4	1.72498e+15
1.44093e+4	1.72192e+15
1.45426e+4	1.71875e+15
1.46759e+4	1.71548e+15
1.48093e+4	1.71210e+15
1.49426e+4	1.70863e+15
1.50759e+4	1.70505e+15
1.52092e+4	1.70138e+15
1.53426e+4	1.69762e+15
1.54759e+4	1.69377e+15
1.56092e+4	1.68983e+15
1.57425e+4	1.68580e+15
1.58759e+4	1.68169e+15
1.60092e+4	1.67750e+15
1.61425e+4	1.67323e+15
1.62759e+4	1.66888e+15
1.64092e+4	1.66446e+15
1.65425e+4	1.65996e+15
1.66758e+4	1.65539e+15
1.68092e+4	1.65075e+15
1.69425e+4	1.64605e+15
1.70758e+4	1.64128e+15
1.72091e+4	1.63644e+15
1.73425e+4	1.63155e+15
